Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned MC,0.85,20,0.001,0.014672064100018641
Conditioned MC,0.85,20,0.0025,0.01733675613306218
Conditioned MC,0.85,20,0.005,0.018154495000239024
Conditioned MC,0.85,20,0.01,0.018292711352133395
Direct MC,0.95,20,0.001,-0.14857247635715606
Direct MC,0.95,20,0.0025,-0.14441452721595738
Direct MC,0.95,20,0.005,-0.0053335836960002325
Direct MC,0.95,20,0.01,0.0025547845170486028
Conditioned MC,0.95,20,0.001,0.013692862473480002
Conditioned MC,0.95,20,0.0025,0.013797646332150748
Conditioned MC,0.95,20,0.005,0.013905143245018792
Conditioned MC,0.95,20,0.01,0.014000485074551428
Direct MC,0.7,21,0.001,0.027932424765886303
Direct MC,0.7,21,0.0025,0.025269044628345227
Direct MC,0.7,21,0.005,0.023465586731958865
Direct MC,0.7,21,0.01,0.022381427391934494
Conditioned MC,0.7,21,0.001,0.027973836388817112
Conditioned MC,0.7,21,0.0025,0.025385472608604687
Conditioned MC,0.7,21,0.005,0.023608498674221323
Conditioned MC,0.7,21,0.01,0.02243086725390686
Direct MC,0.85,21,0.001,0.6085851323032186
Direct MC,0.85,21,0.0025,0.18845413200776306
Direct MC,0.85,21,0.005,0.0997835916616765
Direct MC,0.85,21,0.01,0.03655388295439188
Conditioned MC,0.85,21,0.001,0.018802350878210913
Conditioned MC,0.85,21,0.0025,0.01908298357187732
Conditioned MC,0.85,21,0.005,0.01924472840978808
Conditioned MC,0.85,21,0.01,0.0186973443099836
Direct MC,0.95,21,0.001,-0.9989111376849988
Direct MC,0.95,21,0.0025,-0.02755170381159644
Direct MC,0.95,21,0.005,0.013186023551391202
Direct MC,0.95,21,0.01,0.043910725054698396
